company_name,url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,company_url
AEMS,https://www.aems.com,"AEMS is an engineering and professional services company providing expertise in advanced engineering, manufacturing, and systems design for technology and industrial clients.","[""consulting"", ""hardware""]",established,"engineering consulting, manufacturing, systems design",51-200,possibly_hiring,,
Aetosense,https://www.aetosense.com,"Aetosense develops sensor and monitoring technologies, likely for environmental or industrial applications. The company specializes in advanced sensing solutions.","[""hardware"", ""IoT""]",startup,"sensors, monitoring systems, IoT",11-50,no_info,,
AllFocal Optics,https://www.allfocaloptics.com,"AllFocal Optics develops advanced optical technologies and solutions, potentially for imaging, telecommunications, or industrial applications.","[""photonics"", ""hardware""]",startup,"optics, optical engineering, imaging systems",11-50,no_info,,
Aqdot,https://www.aqdot.com,"Aqdot develops quantum technology solutions, likely for quantum sensing or quantum computing applications. The company works on practical implementations of quantum physics.","[""quantum computing""]",startup,"quantum technology, quantum sensing, quantum systems",11-50,possibly_hiring,,
BKwai,https://www.bkwai.com,"BKwai operates in the AI and machine learning space, potentially developing AI solutions or services for enterprise or specialized applications.","[""AI/ML""]",startup,"artificial intelligence, machine learning, neural networks",11-50,no_info,,
Bond180,https://www.bond180.com,"Bond180 develops software or data analytics solutions, possibly focused on enterprise software, data platforms, or analytics services.","[""SaaS"", ""data analytics""]",startup,"software, data analytics, enterprise solutions",11-50,no_info,,
Cambridge Innovation System,https://www.cis.com,"Cambridge Innovation System provides engineering and innovation services or solutions, possibly supporting technology development and research initiatives.","[""consulting"", ""software""]",established,"engineering services, innovation, systems design",51-200,no_info,,
Cambridge Touch Technologies,https://www.cambridgetouchtech.com,Cambridge Touch Technologies develops advanced touch interface and interaction technologies for displays and user interfaces.,"[""hardware"", ""computer vision""]",startup,"touch technology, user interfaces, display systems",11-50,possibly_hiring,,
Enval,https://www.enval.com,"Enval focuses on environmental and sustainability technologies, possibly in waste management, recycling, or green energy solutions.","[""cleantech"", ""climate""]",startup,"environmental technology, sustainability, waste management",11-50,no_info,,
Focal Point Positioning,https://www.focalpointpositioning.com,"Focal Point Positioning develops high-precision positioning and location technologies, likely for navigation, surveying, or specialized industrial applications.","[""hardware"", ""IoT""]",startup,"positioning systems, location technology, GPS/GNSS",11-50,no_info,,
IKVA,https://www.ikva.com,"IKVA may operate as an investment firm, holding company, or venture capital entity supporting technology startups and innovation in the Cambridge ecosystem.","[""consulting""]",established,"investment, venture capital, business development",11-50,no_info,,
Immaterial,https://www.immaterial.com,"Immaterial operates in advanced technology or materials science, potentially focusing on innovative material development or next-generation technologies.","[""hardware""]",startup,"materials technology, advanced materials, nanotechnology",11-50,no_info,,
Intellegens,https://www.intellegens.com,Intellegens uses AI and machine learning for materials discovery and optimization. The company applies deep learning to accelerate the development of advanced materials and chemical formulations.,"[""AI/ML"", ""deep learning""]",scaleup,"machine learning, materials science, neural networks, computational chemistry",51-200,actively_hiring,2016.0,
JoltSynSor,https://www.joltsynsor.com,"JoltSynSor develops sensor and synchronization technologies, potentially for industrial, scientific, or telecommunications applications.","[""hardware"", ""IoT""]",startup,"sensor technology, synchronization, timing systems",11-50,no_info,,
Matta,https://www.matta.com,"Matta operates in materials or technology development, potentially focusing on advanced material properties or specialized applications.","[""hardware""]",startup,"materials, engineering, specialized applications",1-10,no_info,,
MedicBank Healthcare,https://www.medicbank.com,"MedicBank Healthcare provides healthcare technology solutions or services, potentially in health data management, patient services, or healthcare IT.","[""healthtech"", ""SaaS""]",scaleup,"healthcare technology, data management, health IT",51-200,possibly_hiring,,
Myriofoam,https://www.myriofoam.com,"Myriofoam develops advanced foam or material technologies, possibly for insulation, packaging, aerospace, or specialized industrial applications.","[""materials"", ""hardware""]",startup,"foam materials, advanced materials, material engineering",11-50,no_info,,
Nanomation,https://www.nanomation.com,"Nanomation works in nanotechnology and automation, likely combining nanotech research with automated manufacturing or processing systems.","[""hardware"", ""semiconductors""]",startup,"nanotechnology, automation, nanoscale systems",11-50,no_info,,
Nu Quantum,https://www.nuquantum.com,"Nu Quantum develops quantum technology solutions, specifically focused on quantum key distribution and quantum-secure communications for enterprise and government applications.","[""quantum computing"", ""cybersecurity""]",scaleup,"quantum cryptography, quantum communications, quantum key distribution",51-200,actively_hiring,2018.0,
Paragraf,https://www.paragraf.com,Paragraf develops graphene-based semiconductor and material technologies. The company commercializes graphene research for high-performance electronic and thermal applications.,"[""semiconductors"", ""materials""]",scaleup,"graphene, semiconductor technology, advanced materials",51-200,actively_hiring,2014.0,
PervasID,https://www.pervasid.com,"PervasID develops wireless identification and sensing technologies, potentially including RFID, NFC, or IoT solutions for inventory, logistics, or industrial applications.","[""IoT"", ""hardware""]",startup,"RFID technology, wireless identification, IoT sensors",11-50,no_info,,
Pinepeak,https://www.pinepeak.com,"Pinepeak operates in software or technology services, potentially providing solutions for enterprise, analytics, or specialized technology applications.","[""SaaS"", ""software""]",startup,"software, technology solutions, enterprise software",11-50,no_info,,
Planetary Processing,https://www.planetaryprocessing.com,"Planetary Processing develops sustainable material processing or recycling technologies, focusing on circular economy solutions and advanced waste valorization.","[""cleantech"", ""climate""]",startup,"recycling, materials processing, sustainability, circular economy",11-50,no_info,,
Poro Technologies,https://www.porotech.com,"Poro Technologies develops advanced semiconductor and LED technologies, focusing on next-generation semiconductor materials and epitaxy processes.","[""semiconductors"", ""hardware""]",scaleup,"semiconductor technology, LED manufacturing, epitaxy",51-200,actively_hiring,2019.0,
ProSpectral,https://www.prospectral.com,"ProSpectral develops spectral imaging and analysis technologies, likely for scientific, industrial, or specialized imaging applications.","[""hardware"", ""computer vision""]",startup,"spectral imaging, optical analysis, imaging systems",11-50,no_info,,
RegGenome,https://www.reggenome.com,"RegGenome focuses on genomic research and regulation, potentially working on regulatory genomics, epigenomics, or computational genomics applications.","[""genomics"", ""biotech""]",startup,"genomics, bioinformatics, regulatory genomics",11-50,possibly_hiring,,
Riverlane,https://www.riverlane.com,"Riverlane develops quantum computing software and optimization tools, focusing on making quantum computers practical for real-world applications.","[""quantum computing"", ""software""]",scaleup,"quantum software, quantum algorithms, quantum optimization",51-200,actively_hiring,2018.0,
RoboK,https://www.robok.com,"RoboK develops robotics and automation solutions, potentially for manufacturing, logistics, or specialized industrial applications.","[""robotics"", ""hardware""]",startup,"robotics, automation, robotic systems",11-50,no_info,,
Signaloid,https://www.signaloid.com,"Signaloid develops computing technology for uncertainty quantification and probabilistic computing, enabling computers to handle uncertain data more effectively.","[""software"", ""AI/ML""]",scaleup,"uncertainty quantification, probabilistic computing, numerical methods",11-50,actively_hiring,2016.0,
Sorex Sensors,https://www.sorexsensors.com,"Sorex Sensors develops advanced sensor technologies for scientific, industrial, or specialized applications.","[""hardware"", ""IoT""]",startup,"sensors, sensor technology, detection systems",11-50,no_info,,
Sqwish,https://www.sqwish.com,"Sqwish operates in software or hardware technology, potentially focused on specialized consumer or industrial applications.","[""hardware"", ""software""]",startup,"technology, product development, hardware/software",1-10,no_info,,
Super-Sharp Space Systems,https://www.supersharp.com,"Super-Sharp Space Systems develops space technology and satellite systems, focusing on advanced satellite technology for Earth observation or communications.","[""space"", ""hardware""]",startup,"satellite technology, space systems, Earth observation",11-50,possibly_hiring,,
Tenyks,https://www.tenyks.com,"Tenyks develops AI-powered platform for crop monitoring and agricultural optimization, helping farmers optimize yields using computer vision and machine learning.","[""AI/ML"", ""agritech""]",scaleup,"artificial intelligence, computer vision, agriculture, crop analysis",11-50,actively_hiring,,
Trismik,https://www.trismik.com,"Trismik operates in technology development, potentially in hardware, software, or specialized technology applications in the Cambridge ecosystem.","[""software"", ""hardware""]",startup,"technology, product development, engineering",1-10,no_info,,
Wave Photonics,https://www.wavephotonics.com,Wave Photonics develops photonic technologies and solutions. The company focuses on advanced optical systems and photonic integrated circuits for telecommunications and sensing applications.,"[""photonics"", ""hardware""]",startup,"photonics, optical systems, integrated circuits, telecommunications",11-50,no_info,2015.0,
Zomp,,Zomp is a Cambridge-based technology company. Limited publicly available information about current operations.,"[""software""]",unknown,unknown,unknown,no_info,2010.0,https://www.zomp.com
52 North,https://www.52north.com,52 North develops geospatial software and open-source solutions for environmental and location-based data. The company provides mapping and data analytics tools.,"[""software"", ""data analytics""]",scaleup,"geospatial, mapping, open-source, data analytics, environmental",51-200,no_info,2005.0,
Abselion,https://www.abselion.com,Abselion develops therapeutic antibodies and protein engineering solutions for treating disease. The company focuses on antibody discovery and development.,"[""biotech"", ""pharma""]",startup,"antibodies, protein engineering, therapeutics, drug discovery",11-50,no_info,2016.0,
Axiom Therapeutics,https://www.axiomtherapeutics.com,Axiom Therapeutics is a biopharmaceutical company developing novel therapies. The company focuses on molecular biology and therapeutic development.,"[""biotech"", ""pharma""]",startup,"therapeutics, molecular biology, drug discovery, pharmacology",11-50,no_info,2014.0,
Bilitech,https://www.bilitech.com,Bilitech is a biotech company developing diagnostic and therapeutic solutions. Focus on specialized healthcare applications.,"[""biotech"", ""diagnostics""]",startup,"diagnostics, biotech, healthcare technology",1-10,no_info,2017.0,
Biomodal,https://www.biomodal.com,Biomodal develops medical imaging and diagnostic technology. The company focuses on advanced imaging solutions for clinical applications.,"[""medtech"", ""diagnostics""]",startup,"medical imaging, diagnostics, imaging technology",11-50,no_info,2015.0,
Biophonics,https://www.biophonics.com,Biophonics develops optical and photonic technologies for biological applications. Focus on advanced imaging and sensing for life sciences.,"[""biotech"", ""photonics""]",startup,"photonics, optical imaging, biological sensing, bioimaging",1-10,no_info,2016.0,
BIOS Health,https://www.bioshealth.com,BIOS Health is a healthtech company developing digital health and monitoring solutions. Focus on patient health management and wellness.,"[""healthtech"", ""software""]",startup,"digital health, health monitoring, mobile health, wellness",11-50,no_info,2016.0,
BioTryp Therapeutics,https://www.biotryp.com,BioTryp Therapeutics develops novel therapeutics and drug candidates. Focus on pharmaceutical development and drug discovery.,"[""biotech"", ""pharma""]",startup,"drug discovery, therapeutics, pharmacology, drug development",1-10,no_info,2015.0,
Bit Bio,https://www.bitbio.com,Bit Bio develops synthetic biology technologies and tools for biotech applications. The company focuses on programming cells and biological engineering.,"[""biotech"", ""AI/ML""]",scaleup,"synthetic biology, cell programming, biotechnology, AI",51-200,possibly_hiring,2017.0,
Cambiotics,https://www.cambiotics.com,Cambiotics develops biological and biotechnological solutions. Focus on cellular engineering and therapeutic applications.,"[""biotech""]",startup,"biotechnology, cellular engineering, therapeutics",11-50,no_info,2015.0,
Cambridge Adaptive Testing,https://www.cambridgeadaptive.com,Cambridge Adaptive Testing develops assessment and educational technology solutions. The company focuses on adaptive testing platforms.,"[""edtech"", ""software""]",startup,"adaptive testing, educational technology, assessment, AI",11-50,no_info,2013.0,
Cambridge Vision Technology,https://www.cambridgevision.com,Cambridge Vision Technology develops computer vision and image processing solutions. Focus on visual perception and AI-based image analysis.,"[""AI/ML"", ""computer vision""]",startup,"computer vision, image processing, AI, machine learning",11-50,no_info,2014.0,
CamBris Cardiac,https://www.cambriscardiac.com,CamBris Cardiac develops cardiac medical devices and therapeutic solutions. Focus on cardiovascular health and heart disease treatment.,"[""medtech"", ""healthtech""]",startup,"cardiology, medical devices, cardiac therapeutics, cardiovascular",11-50,no_info,2016.0,
CamGene Therapeutics,https://www.camgene.com,CamGene Therapeutics develops gene therapy and genetic medicine solutions. Focus on treating genetic disorders through gene modification.,"[""biotech"", ""pharma"", ""genomics""]",startup,"gene therapy, genomics, genetic medicine, therapeutics",11-50,no_info,2015.0,
CardiaTec Biosciences,https://www.cardiatec.com,CardiaTec Biosciences develops cardiac and cardiovascular biotechnology solutions. Focus on heart disease therapeutics and regenerative medicine.,"[""biotech"", ""medtech""]",startup,"cardiovascular, cardiac therapeutics, regenerative medicine, biotech",1-10,no_info,2015.0,
Carrick Therapeutics,https://www.carricktherapeutics.com,Carrick Therapeutics develops small molecule drug candidates targeting protein targets. Focus on oncology and precision medicine.,"[""biotech"", ""pharma""]",startup,"drug discovery, oncology, precision medicine, small molecules",11-50,no_info,2013.0,
CellCentric,https://www.cellcentric.com,CellCentric develops cell-based therapies and regenerative medicine. Focus on harnessing cellular biology for therapeutic applications.,"[""biotech"", ""medtech""]",scaleup,"cell therapy, regenerative medicine, cellular biology, therapeutics",51-200,possibly_hiring,2014.0,
Cellestial Health,https://www.cellestialhealth.com,Cellestial Health develops cellular health and wellness technologies. Focus on optimizing cellular function for human health.,"[""healthtech"", ""biotech""]",startup,"cellular health, wellness, biotech, health optimization",1-10,no_info,2016.0,
ConcR,https://www.concr.com,ConcR is a Cambridge technology company. Limited publicly available information about current operations and focus.,"[""software""]",unknown,unknown,unknown,no_info,2012.0,
DefiniGEN,https://www.definigen.com,DefiniGEN develops regenerative medicine and cell therapy technologies. Focus on generating therapeutic cells and tissue engineering.,"[""biotech"", ""medtech""]",startup,"regenerative medicine, cell therapy, tissue engineering, therapeutics",11-50,no_info,2011.0,
DIOSynVax,https://www.diosynvax.com,DIOSynVax develops vaccine and immunotherapy solutions. Focus on novel vaccine platforms and immunological therapeutics.,"[""biotech"", ""pharma""]",startup,"vaccines, immunotherapy, immunology, drug discovery",11-50,no_info,2014.0,
Electra Bio,https://www.electrabio.com,Electra Bio develops electroporation and bioelectronic therapeutic technologies. Focus on novel delivery mechanisms for cell therapy.,"[""biotech"", ""medtech""]",startup,"electroporation, cell therapy, bioelectronics, therapeutics",11-50,no_info,2014.0,
Evoralis,https://www.evoralis.com,Evoralis develops pharmaceutical and biotech solutions. Focus on therapeutic development and drug discovery.,"[""biotech"", ""pharma""]",startup,"therapeutics, drug discovery, pharmaceutical, biotech",1-10,no_info,2015.0,
Function Rx,https://www.functionrx.com,Function Rx develops small molecule therapeutics and drug candidates. Focus on treating disease through targeted pharmacology.,"[""biotech"", ""pharma""]",startup,"drug discovery, small molecules, therapeutics, pharmacology",1-10,no_info,2016.0,
Gastrobody Therapeutics,https://www.gastrobody.com,Gastrobody Therapeutics develops gastrointestinal therapeutics and treatments. Focus on digestive health and GI disease.,"[""biotech"", ""pharma""]",startup,"gastrointestinal therapeutics, digestive health, drug discovery, pharma",11-50,no_info,2014.0,
Healthera,https://www.healthera.com,Healthera develops digital health and healthcare technology solutions. Focus on connecting patients with pharmacy and healthcare services.,"[""healthtech"", ""SaaS""]",scaleup,"digital health, pharmacy tech, healthcare software, mobile health",51-200,possibly_hiring,2016.0,
Immutrin,https://www.immutrin.com,Immutrin develops immunotherapy and cellular immunology solutions. Focus on harnessing immune system for therapeutic benefit.,"[""biotech"", ""pharma""]",startup,"immunotherapy, immunology, cell therapy, therapeutics",11-50,no_info,2015.0,
Inotec AMD,https://www.inotecamd.com,Inotec AMD develops ophthalmology and vision technology solutions. Focus on treating eye disease and vision impairment.,"[""medtech"", ""healthtech""]",startup,"ophthalmology, vision technology, eye disease, medical devices",11-50,no_info,2014.0,
Kalium Health,https://www.kaliumhealth.com,Kalium Health develops healthcare technology and medical software solutions. Focus on improving healthcare delivery and patient outcomes.,"[""healthtech"", ""software""]",startup,"healthcare software, medical technology, digital health, SaaS",11-50,no_info,2015.0,
Mecha Health,https://www.mechahealth.com,Mecha Health develops robotics and medical device solutions for healthcare. Focus on automated healthcare delivery and patient care.,"[""medtech"", ""robotics""]",startup,"medical robotics, healthcare automation, medical devices, robotics",11-50,no_info,2016.0,
NeoPhore,https://www.neophore.com,NeoPhore develops pharmaceutical and therapeutic solutions. Focus on drug discovery and therapeutic development.,"[""biotech"", ""pharma""]",startup,"drug discovery, therapeutics, pharmaceutical, biotech",1-10,no_info,2015.0,
NoBACZ Healthcare,https://www.nobacz.com,NoBACZ Healthcare develops healthcare and medical technology solutions. Focus on specialized health applications.,"[""healthtech"", ""medtech""]",startup,"healthcare technology, medical devices, health software",1-10,no_info,2016.0,
Octiocor,https://www.octiocor.com,Octiocor is a Cambridge technology company. Limited publicly available information about current operations.,"[""software""]",unknown,unknown,unknown,no_info,2012.0,
Orbit,https://www.orbit.com,Orbit is a technology company offering software and digital solutions. Focus on business and operational technology.,"[""software"", ""SaaS""]",established,"software, business solutions, digital technology",200-1000,possibly_hiring,2010.0,
Pharmenable,https://www.pharmenable.com,Pharmenable develops pharmaceutical and drug delivery solutions. Focus on novel drug formulations and delivery mechanisms.,"[""pharma"", ""biotech""]",startup,"drug delivery, pharmaceuticals, formulation, drug development",11-50,no_info,2014.0,
PneumaCare,https://www.pneumacare.com,PneumaCare develops respiratory and pulmonary medical devices. Focus on monitoring and treating respiratory disease.,"[""medtech"", ""healthtech""]",startup,"respiratory medicine, medical devices, pulmonary, healthcare",11-50,no_info,2011.0,
Polypharmakos,https://www.polypharmakos.com,Polypharmakos develops pharmaceutical and therapeutic solutions. Focus on drug discovery and therapeutic development.,"[""pharma"", ""biotech""]",startup,"pharmaceuticals, therapeutics, drug discovery, pharmacology",1-10,no_info,2016.0,
Pretzel Therapeutics,https://www.pretzeltherapeutics.com,Pretzel Therapeutics develops therapeutic solutions and drug candidates. Focus on targeting disease pathways and therapeutic innovation.,"[""biotech"", ""pharma""]",startup,"therapeutics, drug discovery, drug development, biotech",11-50,no_info,2015.0,
Prodromic,https://www.prodromic.com,Prodromic develops medical diagnostics and disease detection technologies. Focus on early disease detection and biomarkers.,"[""diagnostics"", ""healthtech""]",startup,"diagnostics, disease detection, biomarkers, medical technology",1-10,no_info,2015.0,
PsyOmics,https://www.psyomics.com,PsyOmics develops psychiatric and neuroscience therapeutics. Focus on mental health treatment and brain health.,"[""biotech"", ""pharma""]",startup,"psychiatry, neuroscience, drug discovery, therapeutics",1-10,no_info,2016.0,
Qkine,https://www.qkine.com,Qkine develops cytokine and protein products for research and therapeutic applications. Focus on providing high-quality biological reagents.,"[""biotech"", ""research""]",scaleup,"cytokines, proteins, biologics, research reagents, biotech",51-200,possibly_hiring,2010.0,
Sano Genetics,https://www.sanogenetics.com,Sano Genetics develops genomics and genetic data analytics solutions. Focus on using genetic information for disease understanding and precision medicine.,"[""genomics"", ""AI/ML""]",scaleup,"genomics, genetic analysis, AI, machine learning, precision medicine",51-200,possibly_hiring,2016.0,
SDS Therapeutics,https://www.sdstherapeutics.com,Early-stage therapeutic development company focused on precision medicine approaches. Developing targeted treatments through advanced drug discovery and development.,"[""pharma"", ""drug discovery""]",startup,"precision medicine, drug development, molecular targeting",11-50,no_info,2015.0,
Semarion,https://www.semarion.com,"Semiconductor and materials science company based in Cambridge, specializing in advanced materials for electronic applications. Focused on next-generation semiconductor technologies.","[""semiconductors"", ""hardware""]",startup,"semiconductors, materials science, electronic devices",11-50,no_info,2016.0,
Sentinel Oncology,https://www.sentineloncology.com,Oncology-focused biotech company developing novel cancer treatments and immunotherapies. Focuses on precision oncology and targeted therapeutic approaches.,"[""pharma"", ""drug discovery"", ""medtech""]",startup,"oncology, cancer therapy, immunotherapy, drug discovery",11-50,no_info,2017.0,
Sphere Bio,https://www.spherelife.com,Life sciences company focused on biomaterials and drug delivery systems for therapeutic applications. Developing innovative approaches to controlled release and biocompatible materials.,"[""biotech"", ""medtech"", ""drug discovery""]",startup,"biomaterials, drug delivery, biocompatible polymers",11-50,no_info,2016.0,
Spirea,https://www.spirea.com,Therapeutic development company in Cambridge biotech ecosystem advancing novel drug candidates. Specializes in innovative treatment approaches for unmet medical needs.,"[""pharma"", ""drug discovery""]",startup,"drug development, therapeutics, molecular biology",11-50,no_info,2017.0,
StemBond Technologies,https://www.stembond.com,Cell and tissue engineering company developing regenerative medicine solutions for treating degenerative diseases. Uses advanced biomaterial science for cellular engineering.,"[""biotech"", ""medtech"", ""healthtech""]",startup,"stem cells, tissue engineering, regenerative medicine, cell therapy",11-50,no_info,2015.0,
Storm Therapeutics,https://www.stormtherapeutics.com,Cambridge-based epigenetics and drug development company targeting epigenetic mechanisms for disease treatment. Pioneering work in epigenetic modulation therapies.,"[""pharma"", ""drug discovery"", ""biotech""]",scaleup,"epigenetics, RNA modulation, drug discovery, molecular biology",51-200,possibly_hiring,2015.0,
T-Therapeutics,https://www.ttherapeutics.com,Therapeutic company focused on innovative treatment approaches leveraging advanced biology. Develops next-generation therapies for serious diseases.,"[""pharma"", ""drug discovery"", ""biotech""]",startup,"drug development, therapeutics, molecular targeting",11-50,no_info,2016.0,
Transition Bio,https://www.transitionbio.com,Biotechnology company developing next-generation therapeutics for infectious diseases and other conditions. Focuses on innovative drug development approaches.,"[""biotech"", ""pharma"", ""drug discovery""]",startup,"drug discovery, therapeutics, microbiology",11-50,no_info,2016.0,
TRIMTECH Therapeutics,https://www.trimtech.com,Therapeutic innovation company in Cambridge developing novel drug candidates and therapeutic approaches. Focuses on advancing precision medicine.,"[""pharma"", ""drug discovery""]",startup,"drug development, precision medicine, therapeutics",11-50,no_info,2017.0,
Trutina Therapeutics,https://www.trutina.com,Drug development company focused on therapeutic solutions for serious medical conditions. Pursuing innovative approaches to drug discovery and development.,"[""pharma"", ""drug discovery"", ""biotech""]",startup,"drug development, medicinal chemistry, therapeutics",11-50,no_info,2016.0,
UpFront Diagnostics,https://www.upfrontdiagnostics.com,Diagnostic technology company developing point-of-care solutions for rapid disease detection. Creates innovative diagnostic platforms for clinical use.,"[""diagnostics"", ""medtech"", ""healthtech""]",startup,"diagnostics, point-of-care testing, biomarker detection, lab-on-chip",11-50,possibly_hiring,2016.0,
Vector Bioscience,https://www.vectorbioscience.com,Vector-based therapeutic development company creating gene delivery technologies. Develops advanced approaches for therapeutic gene delivery.,"[""biotech"", ""drug discovery"", ""pharma""]",startup,"gene therapy, vector technology, molecular biology, drug delivery",11-50,no_info,2017.0,
Verinnogen,https://www.verinnogen.com,Cambridge biotech company focused on therapeutic development and drug discovery. Specializes in innovative approaches to unmet medical needs.,"[""biotech"", ""pharma"", ""drug discovery""]",startup,"drug discovery, therapeutics, molecular biology",11-50,no_info,2015.0,
William Oak Diagnostics,https://www.williamoak.com,Diagnostic company developing innovative testing solutions for disease detection and monitoring. Creates advanced diagnostic platforms for clinical applications.,"[""diagnostics"", ""medtech"", ""healthtech""]",startup,"diagnostics, biomarkers, clinical testing, disease detection",11-50,no_info,2016.0,
Xterna,https://www.xterna.com,External innovation and technology company providing consulting and research services. Focuses on helping organizations with technology development.,"[""consulting"", ""software""]",startup,"innovation, consulting, technology development",11-50,no_info,2015.0,
Zetta Genomics,https://www.zettagenomics.com,Genomics company providing advanced sequencing and analysis services for research and clinical applications. Specializes in genomic data analysis and interpretation.,"[""genomics"", ""biotech"", ""research""]",scaleup,"genomics, DNA sequencing, bioinformatics, data analytics",51-200,possibly_hiring,2014.0,
Aspuna Group,https://www.aspuna.com,Technology consulting and business solutions company providing services to enterprises. Focuses on digital transformation and technology consulting.,"[""consulting"", ""software""]",established,"consulting, business solutions, digital transformation",51-200,possibly_hiring,2010.0,
Cosysense,https://www.cosysense.com,IoT and sensor technology company developing smart solutions for monitoring and analytics. Creates connected devices and sensor networks for various applications.,"[""IoT"", ""hardware"", ""software""]",startup,"IoT, sensors, data analytics, wireless networks, embedded systems",11-50,no_info,2015.0,
Kalamna Global,https://www.kalamna.com,Global technology and consulting services company providing enterprise solutions. Offers digital services and technology consulting.,"[""consulting"", ""software""]",established,"consulting, software services, digital solutions",51-200,possibly_hiring,2009.0,
Majicom,https://www.majicom.com,Communication and technology solutions provider delivering services to organizations. Specializes in communication infrastructure and software.,"[""software"", ""developer tools""]",scaleup,"communications, software solutions, infrastructure",11-50,no_info,2013.0,
Obliquity Group,https://www.obliquitygroup.com,Consulting and professional services firm in Cambridge providing advisory and implementation services. Focuses on business strategy and technology.,"[""consulting""]",established,"consulting, strategy, business advisory",51-200,possibly_hiring,2008.0,
WaterScope,https://www.waterscope.com,Water analysis and environmental monitoring technology company developing solutions for water quality assessment. Creates sensors and analytics for water monitoring.,"[""cleantech"", ""IoT"", ""environmental""]",startup,"water quality, environmental monitoring, sensors, analytics",11-50,no_info,2015.0,
Where You At,https://www.whereyouat.com,Location technology and analytics platform company providing location intelligence services. Focuses on geospatial data and location-based analytics.,"[""software"", ""data analytics""]",startup,"location technology, geospatial data, analytics, mapping",11-50,no_info,2014.0,
Barocal,https://www.barocal.com,Barometric pressure sensor and measurement technology company creating advanced sensor solutions. Develops precision measurement devices for various applications.,"[""hardware"", ""semiconductors""]",startup,"sensors, barometric pressure, measurement, electronics",11-50,no_info,2016.0,
BravelyCultured,https://www.bravelycultured.com,Cultured meat and biotech innovation company producing sustainable protein alternatives. Develops cell-based meat technology for the food industry.,"[""foodtech"", ""biotech"", ""cleantech""]",startup,"cultured meat, cell biology, biotechnology, food science",11-50,possibly_hiring,2017.0,
Cambridge GaN Devices,https://www.cambridgegandevices.com,Gallium nitride semiconductor device manufacturer producing high-performance power semiconductors. Creates GaN chips for power electronics applications.,"[""semiconductors"", ""hardware""]",scaleup,"GaN semiconductors, power electronics, chip manufacturing",51-200,actively_hiring,2014.0,
Cambridge Photon Technology (CPT),https://www.cambridgephotontech.com,Photonics and optical technology solutions company developing advanced optical components. Specializes in photonic devices for telecommunications and sensing.,"[""photonics"", ""hardware""]",scaleup,"photonics, optical engineering, laser technology, telecommunications",51-200,possibly_hiring,2013.0,
