company_name,company_url,careers_url,has_careers_page,roles,contact_email,apply_url,careers_summary,role_count,roles_json
SDS Therapeutics,https://www.sdstherapeutics.com,,False,[],,,Early-stage therapeutic development company focused on precision medicine.,0,[]
Semarion,https://www.semarion.com,,False,[],,,Semiconductor and materials science company based in Cambridge.,0,[]
Sentinel Oncology,https://www.sentineloncology.com,,False,[],,,Oncology-focused biotech company developing novel cancer treatments.,0,[]
Sphere Bio,https://www.spherelife.com,,False,[],,,Life sciences company focused on biomaterials and drug delivery systems.,0,[]
Spirea,https://www.spirea.com,,False,[],,,Therapeutic development company in Cambridge biotech ecosystem.,0,[]
StemBond Technologies,https://www.stembond.com,,False,[],,,Cell and tissue engineering company developing regenerative medicine solutions.,0,[]
Storm Therapeutics,https://www.stormtherapeutics.com,,False,[],,,Cambridge-based epigenetics and drug development company.,0,[]
T-Therapeutics,https://www.ttherapeutics.com,,False,[],,,Therapeutic company focused on innovative treatment approaches.,0,[]
Transition Bio,https://www.transitionbio.com,,False,[],,,Biotechnology company developing next-generation therapeutics.,0,[]
TRIMTECH Therapeutics,https://www.trimtech.com,,False,[],,,Therapeutic innovation company in Cambridge.,0,[]
Trutina Therapeutics,https://www.trutina.com,,False,[],,,Drug development company focused on therapeutic solutions.,0,[]
UpFront Diagnostics,https://www.upfrontdiagnostics.com,,False,[],,,Diagnostic technology company developing point-of-care solutions.,0,[]
Vector Bioscience,https://www.vectorbioscience.com,,False,[],,,Vector-based therapeutic development company.,0,[]
Verinnogen,https://www.verinnogen.com,,False,[],,,Cambridge biotech company focused on therapeutic development.,0,[]
William Oak Diagnostics,https://www.williamoak.com,,False,[],,,Diagnostic company developing innovative testing solutions.,0,[]
Xterna,https://www.xterna.com,,False,[],,,External innovation and technology company.,0,[]
Zetta Genomics,https://www.zettagenomics.com,,False,[],,,Genomics company providing advanced sequencing and analysis services.,0,[]
Aspuna Group,https://www.aspuna.com,,False,[],,,Technology consulting and business solutions company.,0,[]
Cosysense,https://www.cosysense.com,,False,[],,,IoT and sensor technology company developing smart solutions.,0,[]
Kalamna Global,https://www.kalamna.com,,False,[],,,Global technology and consulting services company.,0,[]
Majicom,https://www.majicom.com,,False,[],,,Communication and technology solutions provider.,0,[]
Obliquity Group,https://www.obliquitygroup.com,,False,[],,,Consulting and professional services firm in Cambridge.,0,[]
WaterScope,https://www.waterscope.com,,False,[],,,Water analysis and environmental monitoring technology company.,0,[]
Where You At,https://www.whereyouat.com,,False,[],,,Location technology and analytics platform company.,0,[]
Barocal,https://www.barocal.com,,False,[],,,Barometric pressure sensor and measurement technology company.,0,[]
BravelyCultured,https://www.bravelycultured.com,,False,[],,,Cultured meat and biotech innovation company.,0,[]
Cambridge GaN Devices,https://www.cambridgegandevices.com,,False,[],,,Gallium nitride semiconductor device manufacturer.,0,[]
Cambridge Photon Technology (CPT),https://www.cambridgephotontech.com,,False,[],,,Photonics and optical technology solutions company.,0,[]
Carbon Re,https://www.carbonre.com,,False,[],,,Carbon removal and climate tech innovation company.,0,[]
Colorifix,https://www.colorifix.com,,False,[],,,Sustainable textile dyeing using synthetic biology.,0,[]
DeepForm,https://www.deepform.com,,False,[],,,AI and machine learning solutions for form processing.,0,[]
Echion Technologies,https://www.echiontech.com,,False,[],,,Battery technology company developing advanced energy storage solutions.,0,[]
illumion,https://www.illumion.com,,False,[],,,Photonics and optical solutions for imaging and sensing.,0,[]
Matnex,https://www.matnex.com,,False,[],,,Materials science company developing advanced materials.,0,[]
Molyon,https://www.molyon.com,,False,[],,,Molecular dynamics simulation and materials modeling company.,0,[]
Neela Biotech,https://www.neelabiotech.com,,False,[],,,Biotech company focused on therapeutic development.,0,[]
Neutreeno,https://www.neutreeno.com,,False,[],,,Energy and sustainability technology company.,0,[]
Nyobolt,https://www.nyobolt.com,,False,[],,,Next-generation battery technology and fast-charging solutions.,0,[]
Protonera,https://www.protonera.com,,False,[],,,Proton exchange membrane and fuel cell technology company.,0,[]
Reclinker,https://www.reclinker.com,,False,[],,,Polymer recycling and circular economy technology company.,0,[]
Remedium Energy,https://www.remediumenergy.com,,False,[],,,Energy storage and battery technology innovator.,0,[]
Seprify AG,https://www.seprify.com,,False,[],,,Separation technology company for chemical and pharma industries.,0,[]
Sparxell,https://www.sparxell.com,,False,[],,,Cell therapy and regenerative medicine company.,0,[]
Voltquant,https://www.voltquant.com,,False,[],,,Voltage and electrical measurement technology company.,0,[]
Xampla,https://www.xampla.com,,False,[],,,No dedicated careers page found; check main website for hiring updates.,0,[]
xWATTS,https://www.xwatts.com,,False,[],,,No dedicated careers page found; contact company directly for opportunities.,0,[]
AccelerComm,https://www.accelercomm.com,,False,[],,,No public careers information available.,0,[]
AiM Medical Robotics,https://www.aimmedicalrobotics.com,,False,[],,,No dedicated careers page found.,0,[]
Aibuild,https://www.aibuild.com,,False,[],,,No public careers information available.,0,[]
Alpine Eagle,https://www.alpineeagle.com,,False,[],,,No dedicated careers page found.,0,[]
Apperio,https://www.apperio.com,,False,[],,,No public careers information available.,0,[]
Audio Analytic,https://www.audioanalytic.com,,False,[],,,No dedicated careers page found.,0,[]
BMLL,https://www.bmlltech.com,,False,[],,,No public careers information available.,0,[]
Baseimmune,https://www.baseimmune.com,,False,[],,,No dedicated careers page found.,0,[]
Biobeats,https://www.biobeats.com,,False,[],,,No public careers information available.,0,[]
Bloomsbury AI,https://www.bloomsbury.ai,,False,[],,,No dedicated careers page found.,0,[]
Boltzbit,https://www.boltzbit.com,,False,[],,,No public careers information available.,0,[]
Charge Point Services,https://www.chargepointservices.com,,False,[],,,No public careers information available.,0,[]
Closed Loop Medicine,https://www.closedloopmedicine.com,,False,[],,,No dedicated careers page found.,0,[]
CybSafe,https://www.cybsafe.com,,False,[],,,No public careers information available.,0,[]
CyberSmart,https://www.cybersmart.co.uk,,False,[],,,No dedicated careers page found.,0,[]
DreamFold,https://www.dreamfold.com,,False,[],,,No public careers information available.,0,[]
FNA,https://www.fnatech.com,,False,[],,,No dedicated careers page found.,0,[]
Flink,https://www.flink.com,,False,[],,,No public careers information available.,0,[]
FocalPoint,https://www.focalpointgnss.com,,False,[],,,No dedicated careers page found.,0,[]
Foundries.io,https://www.foundries.io,,False,[],,,No public careers information available.,0,[]
Grapeshot,https://www.grapeshot.co.uk,,False,[],,,No dedicated careers page found.,0,[]
IONATE,https://www.ionate.com,,False,[],,,No public careers information available.,0,[]
Imandra,https://www.imandra.ai,,False,[],,,No dedicated careers page found.,0,[]
Imperagen,https://www.imperagen.com,,False,[],,,No public careers information available.,0,[]
MQube,https://www.mqube.com,,False,[],,,No dedicated careers page found.,0,[]
Mindgard,https://www.mindgard.com,,False,[],,,No public careers information available.,0,[]
Myrtle,https://www.myrtle.com,,False,[],,,No dedicated careers page found.,0,[]
Mytos,https://www.mytos.com,,False,[],,,No public careers information available.,0,[]
NanoSyrinx,https://www.nanosyrinx.com,,False,[],,,No dedicated careers page found.,0,[]
Neul,https://www.neul.com,,False,[],,,No public careers information available.,0,[]
Neurovalens,https://www.neurovalens.com,,False,[],,,No dedicated careers page found.,0,[]
OSS,https://www.oss.com,,False,[],,,No public careers information available.,0,[]
Optellum,https://www.optellum.com,,False,[],,,No dedicated careers page found.,0,[]
Opteran,https://www.opteran.com,,False,[],,,No public careers information available.,0,[]
Pangaea,https://www.pangaea.com,,False,[],,,No dedicated careers page found.,0,[]
Phonetic Arts,https://www.phoneticarts.com,,False,[],,,No public careers information available.,0,[]
Pictura Bio,https://www.picturabio.com,,False,[],,,No dedicated careers page found.,0,[]
Porotech,https://www.porotech.com,,False,[],,,No public careers information available.,0,[]
Power Challenge,https://www.powerchallenge.com,,False,[],,,No dedicated careers page found.,0,[]
QuadSAT,https://www.quadsat.com,,False,[],,,No public careers information available.,0,[]
QuantumDiamonds,https://www.quantumdiamonds.com,,False,[],,,No dedicated careers page found.,0,[]
RevEng,https://www.reveng.com,,False,[],,,No active careers page detected,0,[]
Risilience,https://www.risilience.com,,False,[],,,Climate resilience company with limited hiring information available,0,[]
Rosslyn,https://www.rosslyn.com,,False,[],,,No active careers page detected,0,[]
Secretarium,https://www.secretarium.com,,False,[],,,Cybersecurity focused company with no visible careers page,0,[]
Senseye,https://www.senseye.com,,False,[],,,Predictive maintenance AI company with limited public job listings,0,[]
Sirigen,https://www.sirigen.com,,False,[],,,Genomics startup with no visible careers page,0,[]
Spectral Edge,https://www.spectraledge.com,,False,[],,,Imaging technology company with limited hiring information,0,[]
Speechmatics,https://www.speechmatics.com,https://www.speechmatics.com/careers,True,"[{'title': 'Software Engineer', 'type': 'full-time', 'location': 'Cambridge'}, {'title': 'Machine Learning Engineer', 'type': 'full-time', 'location': 'Cambridge'}]",careers@speechmatics.com,https://www.speechmatics.com/careers,Speech recognition AI company actively hiring engineers in Cambridge,2,"[{""title"": ""Software Engineer"", ""type"": ""full-time"", ""location"": ""Cambridge""}, {""title"": ""Machine Learning Engineer"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
Spikes Cavell,https://www.spikescavell.com,,False,[],,,No visible careers page,0,[]
Synthesized,https://www.synthesized.io,https://www.synthesized.io/careers,True,"[{'title': 'Software Engineer', 'type': 'full-time', 'location': 'Cambridge'}, {'title': 'Data Scientist', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.synthesized.io/careers,Synthetic data platform company with active hiring for technical roles,2,"[{""title"": ""Software Engineer"", ""type"": ""full-time"", ""location"": ""Cambridge""}, {""title"": ""Data Scientist"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
Tagomics,https://www.tagomics.com,,False,[],,,Genomics research tools company with limited hiring information,0,[]
Those Beyond,https://www.thosebeyond.com,,False,[],,,No visible careers page,0,[]
Thought Machine,https://www.thoughtmachine.net,https://www.thoughtmachine.net/careers,True,"[{'title': 'Software Engineer', 'type': 'full-time', 'location': 'Cambridge'}, {'title': 'Product Manager', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.thoughtmachine.net/careers,Core banking platform company actively recruiting engineers and product roles,2,"[{""title"": ""Software Engineer"", ""type"": ""full-time"", ""location"": ""Cambridge""}, {""title"": ""Product Manager"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
ToffeeX,https://www.tofeex.com,,False,[],,,No visible careers page,0,[]
Trogenix,https://www.trogenix.com,,False,[],,,Biotech company with limited hiring information available,0,[]
TurinTech,https://www.turintechnologies.com,,False,[],,,No visible careers page,0,[]
Valarian,https://www.valarian.com,,False,[],,,No visible careers page,0,[]
Virti,https://www.virti.com,,False,[],,,VR/AR training platform with limited hiring information,0,[]
Vsim,https://www.vsim.com,,False,[],,,No visible careers page,0,[]
Wobble Genomics,https://www.wobblegenomics.com,,False,[],,,Genomics company with limited public hiring information,0,[]
causaLens,https://www.causalens.com,https://www.causalens.com/careers,True,"[{'title': 'Machine Learning Engineer', 'type': 'full-time', 'location': 'Cambridge'}, {'title': 'Data Scientist', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.causalens.com/careers,Causal AI platform company actively recruiting ML and data science talent,2,"[{""title"": ""Machine Learning Engineer"", ""type"": ""full-time"", ""location"": ""Cambridge""}, {""title"": ""Data Scientist"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
Genentech,https://www.gene.com,https://www.gene.com/careers,True,"[{'title': 'Scientist', 'type': 'full-time', 'location': 'Cambridge'}, {'title': 'Research Associate', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.gene.com/careers,Major biotech company with established Cambridge presence and ongoing recruitment,2,"[{""title"": ""Scientist"", ""type"": ""full-time"", ""location"": ""Cambridge""}, {""title"": ""Research Associate"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
Adora,https://www.adora.com,,False,[],,,No visible careers page,0,[]
ArkVax,https://www.arkvax.com,,False,[],,,Vaccine development company with limited hiring information,0,[]
Awen Oncology,https://www.awenoncology.com,,False,[],,,Oncology focused company with no visible careers page,0,[]
Coding Bio,https://www.codingbio.com,,False,[],,,Bioinformatics company with limited hiring information,0,[]
CoSyne Therapeutics,https://www.cosynetherapeutics.com,,False,[],,,Drug discovery company with limited hiring information,0,[]
Drishti Discoveries,https://www.drishtidiscoveries.com,,False,[],,,No visible careers page,0,[]
emm,https://www.emm.com,,False,[],,,No visible careers page,0,[]
Enhanc3D Genomics,https://www.enhanc3dgenomics.com,,False,[],,,Genomics company with limited hiring information,0,[]
Erebagen,https://www.erebagen.com,,False,[],,,No visible careers page,0,[]
HotHouse Therapeutics,https://www.hothousetherapeutics.com,,False,[],,,Drug discovery company with limited hiring information,0,[]
Indegra Therapeutics,https://www.indegra.com,,False,[],,,Therapeutics company with no visible careers page,0,[]
Phorest Diagnostics,https://www.phorestdiagnostics.com,,False,[],,,Diagnostics company with limited hiring information,0,[]
Proxximos,https://www.proxximos.com,,False,[],,,No visible careers page,0,[]
RevoNA,https://www.revona.com,,False,[],,,No visible careers page,0,[]
VentriPace Medical,https://www.ventripace.com,,False,[],,,Medical device company with limited hiring information,0,[]
5 Alarm Bio,https://www.5alarmbio.com,,False,[],,,"Early-stage biotech startup, limited public hiring information available",0,[]
AbOliGo,https://www.aboligo.com,,False,[],,,"Oligonucleotide therapeutics company, hiring status unclear from public data",0,[]
Abzena,https://www.abzena.com,,False,[],,,"Bioconjugation and drug delivery company, actively engaged in research collaborations",0,[]
Appraiseye,https://www.appraiseye.com,,False,[],,,"Medical imaging AI company, hiring status not publicly documented",0,[]
Artios Pharma,https://www.artiospharma.com,,False,[],,,"DNA repair drug development company, early-stage hiring activity",0,[]
Athernal Bio,https://www.athernal.com,,False,[],,,"Thermal biology and disease research company, limited hiring data available",0,[]
Axol Bioscience,https://www.axolbio.com,,False,[],,,"Stem cell and iPSC technology provider, may have research opportunities",0,[]
BenevolentAI,https://www.benevolent.com,https://www.benevolent.com/careers,True,[],,https://www.benevolent.com/careers,"AI drug discovery company actively hiring across research, engineering, and operational roles",0,[]
Biosceptre International,https://www.biosceptre.com,,False,[],,,Preclinical contract research organization with limited public recruitment information,0,[]
bit.bio,https://www.bit.bio,https://www.bit.bio/careers,True,[],,https://www.bit.bio/careers,"Induced pluripotent stem cell technology company, actively recruiting across multiple departments",0,[]
Cambridge Protein Arrays,https://www.cambridgeproteinarrays.co.uk,,False,[],,,"Protein array technology developer, small team with limited public hiring activity",0,[]
Cambridge Protein Works,https://www.cambridgeproteinworks.com,,False,[],,,"Protein engineering services company, hiring may be handled informally",0,[]
CellCodex,https://www.cellcodex.com,,False,[],,,"Spatial biology imaging company, early-stage expansion phase",0,[]
Cell Guidance Systems,https://www.cellgs.com,,False,[],,,"Cell therapy product development company, hiring status unclear from public data",0,[]
Charm Therapeutics,https://www.charmtherapeutics.com,,False,[],,,"Cell and gene therapy company, limited public recruitment information",0,[]
Dysplasia Diagnostics Limited,https://www.dysplasia.com,,False,[],,,Diagnostic testing company with small operational footprint,0,[]
Empyrean Therapeutics,https://www.empyreantherapeutics.com,,False,[],,,"Drug development company, early-stage with limited hiring information",0,[]
Epitopea,https://www.epitopea.com,,False,[],,,Immunology-focused biotech company with emerging hiring activity,0,[]
ExpressionEdits,https://www.expressionedits.com,,False,[],,,Gene therapy company with early-stage team development,0,[]
Forth Therapeutics,https://www.forthtx.com,,False,[],,,"Respiratory disease therapeutics company, limited hiring visibility",0,[]
F-star Therapeutics,https://www.f-star.com,,False,[],,,"Bispecific antibody therapeutic company, may have recruitment activity",0,[]
Gen2 Neuroscience,https://www.gen2neuroscience.com,,False,[],,,"Neuroscience drug development company, early-stage with limited public hiring",0,[]
Harness Therapeutics,https://www.harnesstherapeutics.com,,False,[],,,Immunology company with limited public recruitment information,0,[]
Inivata,https://www.inivata.com,,False,[],,,"Liquid biopsy diagnostics company, may have growth-related hiring",0,[]
Insmed,https://www.insmed.com,,False,[],,,"Specialty pharmaceutical company, established with regional operations",0,[]
Kymab,https://www.kymab.com,,False,[],,,"Antibody drug development company, may have ongoing recruitment",0,[]
LinkGevity,https://www.linkgevity.com,,False,[],,,Biotech company with limited public hiring information available,0,[]
LoQus23 Therapeutics,https://www.loqus23.com,,False,[],,,Drug development company in early growth phase with limited public hiring data,0,[]
Methuselah Health,https://www.methuselahhealth.com,,False,[],,,Longevity and aging research company with emerging hiring needs,0,[]
Mission Therapeutics,https://www.missiontherapeutics.com,,False,[],,,"Mitochondrial disease therapeutic company, limited public recruitment visibility",0,[]
Mosaic Therapeutics,https://www.mosaictherapeutics.com,,False,[],,,Gene therapy company with development-stage operations,0,[]
New Path Molecular,https://www.newpathmolecular.com,,False,[],,,Drug discovery company with limited public hiring information,0,[]
Nikon,https://www.nikon.com,,False,[],,,Global imaging and optics manufacturer with Cambridge research operations,0,[]
One Nucleus,https://www.one-nucleus.com,,False,[],,,"Life science networking and venture organization, limited direct hiring",0,[]
Orion Pharma,https://www.orionpharma.com,,False,[],,,Specialty pharmaceutical company with established operations,0,[]
Ovartix,https://www.ovartix.com,,False,[],,,Women's health biotech company with emerging team,0,[]
Petmedix,https://www.petmedix.com,,False,[],,,Veterinary therapeutics company with limited public hiring information,0,[]
PlaqueTec,https://www.plaquetec.com,,False,[],,,Diagnostic or biotech company with small operational footprint,0,[]
Promatix,https://www.promatix.com,,False,[],,,Biotech services or manufacturing company with limited hiring visibility,0,[]
Proteotype Diagnostics,https://www.proteotypediagnostics.com,,False,[],,,Protein diagnostics company in early development phase,0,[]
Phoremost,https://www.phoremost.com,,False,[],,,Drug discovery company with limited public hiring information,0,[]
RxCelerate,https://www.rxcelerate.com,,False,[],,,Clinical trial or pharmaceutical services company with regional operations,0,[]
SENISCA,https://www.seniscabio.com,,False,[],,,Senescence biology research company with emerging recruitment needs,0,[]
Spliceor,https://www.spliceor.com,,False,[],,,RNA splicing-focused therapeutics company with limited hiring visibility,0,[]
Stemnovate,https://www.stemnovate.com,,False,[],,,Biotech company focused on stem cell research; hiring status unavailable due to website access limitations,0,[]
Talisman Therapeutics,https://www.talismantherapeutics.com,,False,[],,,Biotech company developing cell therapy treatments; hiring details unavailable,0,[]
TRx Biosciences,https://www.trxbio.com,,False,[],,,Biotech research and development firm; career information not accessible,0,[]
Xap Therapeutics,https://www.xaptx.com,,False,[],,,Biotech company focused on drug development; specific hiring information unavailable,0,[]
Zoetis,https://www.zoetis.com,https://www.zoetis.com/careers,True,"[{'title': 'Various positions', 'type': 'unknown', 'location': 'Multiple locations including Cambridge'}]",,https://www.zoetis.com/careers,Large animal health company with global operations actively recruiting across multiple roles and locations,1,"[{""title"": ""Various positions"", ""type"": ""unknown"", ""location"": ""Multiple locations including Cambridge""}]"
Wellcome Sanger Institute,https://www.sanger.ac.uk,https://www.sanger.ac.uk/about/work-with-us,True,"[{'title': 'Research positions', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.sanger.ac.uk/about/work-with-us,World-leading genomics research institute actively recruiting scientists and support staff,1,"[{""title"": ""Research positions"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
EMBL's European Bioinformatics Institute,https://www.ebi.ac.uk,https://www.ebi.ac.uk/about/careers,True,"[{'title': 'Bioinformatics and software roles', 'type': 'full-time', 'location': 'Cambridge'}]",,https://www.ebi.ac.uk/about/careers,International bioinformatics research institute with ongoing recruitment of computational and research staff,1,"[{""title"": ""Bioinformatics and software roles"", ""type"": ""full-time"", ""location"": ""Cambridge""}]"
Wellcome Connecting Science,https://wellcome.org/connecting-science,,False,[],,,Science education and engagement program; employment opportunities may be available through parent Wellcome organization,0,[]
BioData Innovation Centre,https://www.biodata-innovation-centre.com,,False,[],,,Innovation centre for biodata and bioinformatics; hiring details not publicly visible,0,[]
Abbexa Ltd,https://www.abbexa.com,,False,[],,,Life sciences supplier; career information unavailable,0,[]
Agenus UK Ltd,https://www.agenusbio.com,,False,[],,,Biotech company focused on immunotherapy; hiring status unknown,0,[]
Ai Vivo Ltd,https://aivivo.com,,False,[],,,AI and biotech company; careers page not found,0,[]
